source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url
manual_research,Sacramento Plumbing Co,plumbing,Sacramento CA,public_booking_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://sacramentoplumbingco.com/,https://sacramentoplumbingco.com/
manual_research,Sacramento Plumbing Solutions,plumbing,Sacramento CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.sacramentoplumbingsolutions.com/,https://www.sacramentoplumbingsolutions.com/contact/
manual_research,Millennium Plumbing Specialist,plumbing,Sacramento CA,public_quote_form,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://theplumbingspecialist.com/,https://theplumbingspecialist.com/contact/
manual_research,Express Sewer and Drain,plumbing,Sacramento CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.expresssewer.com/contact-express-sewer-and-drain,https://www.expresssewer.com/contact-express-sewer-and-drain
manual_research,ABC Plumbing,plumbing,Sacramento CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.abcplumbingandhvac.net/,https://www.abcplumbingandhvac.net/contact-us
manual_research,CABS Heating and Air Conditioning,hvac_plumbing_electric,Sacramento CA,public_contact_page,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.cabshvac.com/,https://www.cabshvac.com/contact-us/
manual_research,Villara,hvac_plumbing_electric,Greater Sacramento CA,public_contact_page,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://villara.com/,https://villara.com/contact-us/
manual_research,Kendrick Heating and Air,hvac,Sacramento CA,public_contact_page,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://kendrickhvac.com/,https://kendrickhvac.com/
manual_research,Jaguar Heating and Air,hvac,Sacramento CA,public_booking_page,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.jaguarheatingandair.com/,https://www.jaguarheatingandair.com/
manual_research,Big Mountain Heating and Air,hvac,Sacramento CA,public_contact_page,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.bigmountainair.com/,https://www.bigmountainair.com/
