source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url
manual_research,Manwill Plumbing and Heating,plumbing_hvac,Salt Lake City/Wasatch Front UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://manwill.net/plumbing/,https://manwill.net/plumbing/
manual_research,Any Hour Services,hvac_plumbing_electric,Salt Lake City/Wasatch Front UT,public_booking_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://anyhourservices.com/,https://anyhourservices.com/
manual_research,SameDay Heating Cooling Plumbing and Electrical,hvac_plumbing_electric,Salt Lake City/Wasatch Front UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://samedayutah.com/,https://samedayutah.com/
manual_research,Salt City Plumbing Heating and Air,plumbing_hvac,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.saltcityplumbing.com/,https://www.saltcityplumbing.com/
manual_research,Just Right Air,hvac_plumbing,Salt Lake City UT,public_booking_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://justrightair.com/,https://justrightair.com/
manual_research,Black Diamond Experts Salt Lake City,hvac_plumbing_electric,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://bdexperts.com/service-area/salt-lake-city-ut/,https://bdexperts.com/service-area/salt-lake-city-ut/
manual_research,Valley Plumbing Heating and Cooling,plumbing_hvac,Salt Lake City/Wasatch Front UT,public_booking_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.valleyplumbing.com/,https://www.valleyplumbing.com/
manual_research,Precision Garage Door of Salt Lake,garage_door,Salt Lake City/Wasatch Front UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://garagedoorsaltlake.com/,https://garagedoorsaltlake.com/
manual_research,Utah Garage Doors Salt Lake City,garage_door,Salt Lake City UT,public_service_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://utahgaragedoors.net/service-areas/salt-lake-city/,https://utahgaragedoors.net/service-areas/salt-lake-city/
manual_research,Accent Garage Doors,garage_door,Salt Lake City UT,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://accentgaragedoorsutah.com/,https://accentgaragedoorsutah.com/
manual_research,AAA Garage Door Inc,garage_door,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Official site provides a public contact form for garage-door repair service requests; refreshed 2026-07-18; no message sent,https://www.aaagaragedoorinc.com/contact-us/,https://www.aaagaragedoorinc.com/contact-us/
manual_research,JP Electrical,electrician,North Salt Lake/Wasatch Front UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://jpelectric.com/contact-northern-utahs-best-residential-and-commercial-electricians/,https://jpelectric.com/contact-northern-utahs-best-residential-and-commercial-electricians/
manual_research,Taylor Electric,electrician,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://taylor-electric.com/utah-commercial-electrician-services-contact/,https://taylor-electric.com/utah-commercial-electrician-services-contact/
manual_research,Epic Electric,electrician,Salt Lake City/Wasatch Front UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.epicelectric.co/,https://www.epicelectric.co/
manual_research,Lighting Maintenance Specialists,electrician,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.lmsles.com/contact-us/,https://www.lmsles.com/contact-us/
manual_research,Shaw Roofing,roofing,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.shawroofing.com/,https://www.shawroofing.com/
manual_research,Fortress Roofing,roofing,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://fortressroofingutah.com/,https://fortressroofingutah.com/
manual_research,Master Roofing Utah,roofing,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.masterroofingutah.com/,https://www.masterroofingutah.com/
manual_research,Landscape Solutions,landscaping,Salt Lake City/Wasatch Front UT,public_pricing_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.letstalkdirt.com/,https://www.letstalkdirt.com/
manual_research,Motts Landscaping,landscaping,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.mottslandscaping.com/,https://www.mottslandscaping.com/
manual_research,SLC Lawn Services,landscaping,Salt Lake City UT,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.slclawnservices.com/,https://www.slclawnservices.com/
manual_research,Rasmussen Landscapes,landscaping,Salt Lake City UT,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.rasmussenlandscapes.com/,https://www.rasmussenlandscapes.com/
manual_research,Pest Pro Pest Control,pest_control,Salt Lake City UT,public_estimate_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.pestproutah.com/,https://www.pestproutah.com/
manual_research,Thorn Pest Solutions Salt Lake City,pest_control,Salt Lake City UT,public_service_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://thornservices.com/salt-lake-city,https://thornservices.com/salt-lake-city
