source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url
manual_research,Overhead Door Company of Sierra Nevada,garage_door,Reno/Northern Nevada,public_service_request,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://overheaddoorreno.com/,https://overheaddoorreno.com/
manual_research,The Door Man,garage_door,Reno/Sparks NV,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.thedoorman.com/,https://www.thedoorman.com/
manual_research,George and Sons Garage Doors,garage_door,Reno NV,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.georgeandsonsdoors.com/,https://www.georgeandsonsdoors.com/
manual_research,Smooth Lift Garage Doors,garage_door,Reno NV,public_request_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.smoothliftgaragedoors.com/,https://www.smoothliftgaragedoors.com/
manual_research,Precision Garage Door Service Reno,garage_door,Reno/Sparks NV,public_schedule_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.precisiondoor.net/locations/nevada/reno/reno-sparks-area,https://www.precisiondoor.net/locations/nevada/reno/reno-sparks-area
manual_research,D and D Overhead Door,garage_door,Reno NV,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://danddoverhead.com/,https://danddoverhead.com/
manual_research,Fox Pest Control Reno,pest_control,Reno NV,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://fox-pest.com/locations/nevada/reno/,https://fox-pest.com/locations/nevada/reno/
manual_research,Truckee Meadows Pest Control,pest_control,Reno NV,public_estimate_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.tmpestcontrol.com/,https://www.tmpestcontrol.com/
manual_research,Clark Pest Control Reno,pest_control,Reno NV,public_estimate_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.clarkpest.com/locations/reno-nv,https://www.clarkpest.com/locations/reno-nv
manual_research,CAD Pest Control,pest_control,Reno/Northern Nevada,public_service_request,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.cadpestcontrol.com/,https://www.cadpestcontrol.com/
manual_research,Sierra Pest Control,pest_control,Reno/Sparks NV,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.sierrapest.com/,https://www.sierrapest.com/
manual_research,Statewide Termite and Pest Control,pest_control,Reno NV,public_estimate_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://statewidepest.com/,https://statewidepest.com/
manual_research,Proof Pest Control Reno,pest_control,Reno NV,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://proofpest.com/reno/,https://proofpest.com/reno/
manual_research,A Master Mechanic,auto_repair,Reno/Sparks NV,public_contact_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.amastermechanic.com/,https://www.amastermechanic.com/
manual_research,Pro 1 Automotive,auto_repair,Reno NV,public_appointment_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://pro1automotive.com/,https://pro1automotive.com/
manual_research,Greg's Garage,auto_repair,Reno NV,public_appointment_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.gregsgarageinc.com/,https://www.gregsgarageinc.com/
manual_research,Nevada Auto Care,auto_repair,Reno NV,public_booking_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://nevadaautocare.com/contact/,https://nevadaautocare.com/contact/
manual_research,Acuna Total Car Care,auto_repair,Reno NV,public_contact_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.acunatotalcarcare.com/,https://www.acunatotalcarcare.com/
manual_research,Southgate Automotive,auto_repair,Reno NV,public_contact_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.southgateautomotive.com/,https://www.southgateautomotive.com/
manual_research,Wayne's Automotive,auto_repair,Reno/Sparks NV,public_contact_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.waynesautocenter.com/,https://www.waynesautocenter.com/
manual_research,Reno Green Landscaping,landscaping,Reno/Northern Nevada,public_proposal_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://renogreen.com/,https://renogreen.com/
