source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url
manual_research,The Garage Door Store Boise,garage_door,Boise/Treasure Valley ID,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://garagedoorstoreboise.com/,https://garagedoorstoreboise.com/
manual_research,Overhead Door Company of Boise,garage_door,Boise/Meridian ID,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://overheaddoorinc.com/meridian/,https://overheaddoorinc.com/meridian/
manual_research,Meridian Garage Door Repair,garage_door,Meridian/Boise ID,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://meridiangaragedoorrepair.com/,https://meridiangaragedoorrepair.com/
manual_research,Access Garage Doors of Treasure Valley,garage_door,Boise/Treasure Valley ID,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://accessdoorcompany.com/treasurevalley-id/,https://accessdoorcompany.com/treasurevalley-id/
manual_research,A1 Garage Door Service Meridian,garage_door,Meridian/Boise ID,public_service_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://a1garage.com/meridian/,https://a1garage.com/meridian/
manual_research,Precision Garage Door of Boise,garage_door,Boise/Treasure Valley ID,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.garagedoorboise.com/,https://www.garagedoorboise.com/
manual_research,All Valley Garage Doors,garage_door,Boise/Treasure Valley ID,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://allvalleygd.com/,https://allvalleygd.com/
manual_research,Best Pest Control and Services,pest_control,Boise/Meridian ID,public_estimate_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.bestpestidaho.com/,https://www.bestpestidaho.com/
manual_research,TriGuard Pest Control Boise,pest_control,Boise ID,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.triguardpestcontrol.com/boise-pest-control/,https://www.triguardpestcontrol.com/boise-pest-control/
manual_research,Croach Pest Control Boise,pest_control,Boise ID,public_inspection_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://croach.com/service-locations/boise-id-pest-control/,https://croach.com/service-locations/boise-id-pest-control/
