source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url
manual_research,Fresno Plumbing and Heating Inc,plumbing,Fresno/Central Valley CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.fresnoplumbinginc.com/,https://www.fresnoplumbinginc.com/
manual_research,Allbritten,hvac_plumbing_electric,Fresno/Central Valley CA,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://allbritten.com/,https://allbritten.com/
manual_research,Roto Rooter Fresno,plumbing,Fresno CA,public_service_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.rotorooter.com/fresno/,https://www.rotorooter.com/fresno/
manual_research,Stedmans Plumbing,plumbing,Fresno CA,public_booking_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.stedmansplumbing.com/,https://www.stedmansplumbing.com/
manual_research,Kims Plumbing,plumbing,Fresno CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.kimsplumbing.net/,https://www.kimsplumbing.net/
manual_research,911 Plumbing and Electric,plumbing_electric,Fresno CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://911plumbingelectric.com/,https://911plumbingelectric.com/
manual_research,All Star Plumbing Fresno,plumbing,Fresno CA,public_booking_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://allstarplumbingfresno.com/,https://allstarplumbingfresno.com/
manual_research,PR Plumbing Heating and Air Conditioning,plumbing_hvac,Fresno CA,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.prplumbingfresno.com/,https://www.prplumbingfresno.com/
manual_research,Balanced Comfort,hvac_plumbing,Fresno CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://balancedcomfort.com/,https://balancedcomfort.com/
manual_research,Lees Air Plumbing and Heating,hvac_plumbing,Fresno/Central Valley CA,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://leesair.com/,https://leesair.com/
manual_research,JC Melton Air Conditioning,hvac,Fresno CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://jcmeltonair.com/,https://jcmeltonair.com/
manual_research,Fresno Heating and Cooling,hvac,Fresno/Clovis CA,public_service_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.fresnosheatingandcooling.com/,https://www.fresnosheatingandcooling.com/
