source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url
manual_research,Overhead Door Company of Sacramento,garage_door,Sacramento Valley CA,public_estimate_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.overheaddoorofsacramento.com/,https://www.overheaddoorofsacramento.com/
manual_research,Elite Garage Door Repair Inc,garage_door,Sacramento CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://elitegaragedoorpros.com/,https://elitegaragedoorpros.com/
manual_research,Haney Door Service,garage_door,Sacramento CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.haneydoor.com/,https://www.haneydoor.com/
manual_research,Paramount Garage Doors,garage_door,Sacramento CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://paramountgaragedoorco.com/,https://paramountgaragedoorco.com/
manual_research,Door Pros Sacramento,garage_door,Sacramento CA,public_estimate_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.doorpros.com/sacramento/,https://www.doorpros.com/sacramento/
manual_research,Precision Garage Door Service Sacramento,garage_door,Sacramento Valley CA,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.precisiondoor.net/locations/california/sacramento-valley/sacramento,https://www.precisiondoor.net/locations/california/sacramento-valley/sacramento
manual_research,Clark Pest Control Sacramento,pest_control,Sacramento CA,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.clarkpest.com/locations/sacramento-ca,https://www.clarkpest.com/locations/sacramento-ca
manual_research,All Clear Pest Control,pest_control,Elk Grove/Sacramento CA,public_contact_form,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.allclearpestcontrolnow.com/,https://www.allclearpestcontrolnow.com/
manual_research,Official Pest Prevention Sacramento,pest_control,Sacramento/Elk Grove CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.officialpestprevention.com/areas-we-serve/pest-control-for-sacramento/,https://www.officialpestprevention.com/contact-us/
manual_research,Fast Action Pest Control,pest_control,Elk Grove/Sacramento CA,public_inspection_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.fastactionpestcontrol.com/,https://www.fastactionpestcontrol.com/
manual_research,ProServ Pest Management,pest_control,Sacramento CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.proservpm.com/,https://www.proservpm.com/
manual_research,CalPro Pest Control,pest_control,Sacramento CA,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://calpropestcontrol.com/,https://calpropestcontrol.com/
manual_research,Pro Active Pest Control Sacramento,pest_control,Sacramento CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.beproactivepestcontrol.com/,https://www.beproactivepestcontrol.com/
manual_research,Stress-Free Auto Care Sacramento,auto_repair,Sacramento CA,public_booking_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.stressfree.com/shops/sacramento,https://www.stressfree.com/shops/sacramento
manual_research,Mike and Sons Automotive,auto_repair,Sacramento CA,public_appointment_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://mikeandsonsautomotive.com/,https://mikeandsonsautomotive.com/
manual_research,Paul's Automotive,auto_repair,Sacramento CA,public_schedule_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://paulsautomotiverepair.com/,https://paulsautomotiverepair.com/
